"Date","Price","Open","High","Low","Change %"
"Mar 17, 2017","1.2394","1.2357","1.2406","1.2321","0.28"
"Mar 16, 2017","1.2360","1.2287","1.2378","1.2239","0.55"
"Mar 15, 2017","1.2292","1.2152","1.2309","1.2138","1.14"
"Mar 14, 2017","1.2154","1.2217","1.2228","1.2106","-0.53"
"Mar 13, 2017","1.2219","1.2161","1.2252","1.2148","0.39"
"Mar 10, 2017","1.2171","1.2166","1.2190","1.2137","0.03"
"Mar 09, 2017","1.2167","1.2165","1.2195","1.2134","-0.02"
"Mar 08, 2017","1.2170","1.2197","1.2216","1.2138","-0.25"
"Mar 07, 2017","1.2200","1.2234","1.2253","1.2167","-0.29"
"Mar 06, 2017","1.2236","1.2293","1.2302","1.2221","-0.48"
"Mar 03, 2017","1.2295","1.2265","1.2304","1.2212","0.23"
"Mar 02, 2017","1.2267","1.2288","1.2308","1.2240","-0.23"
"Mar 01, 2017","1.2295","1.2380","1.2406","1.2277","-0.69"
"Feb 28, 2017","1.2381","1.2442","1.2470","1.2368","-0.51"
"Feb 27, 2017","1.2444","1.2465","1.2486","1.2382","-0.19"
"Feb 24, 2017","1.2468","1.2552","1.2572","1.2444","-0.69"
"Feb 23, 2017","1.2555","1.2440","1.2562","1.2425","0.84"
"Feb 22, 2017","1.2451","1.2469","1.2509","1.2421","-0.18"
"Feb 21, 2017","1.2473","1.2457","1.2482","1.2397","0.10"
"Feb 20, 2017","1.2461","1.2409","1.2483","1.2400","0.38"
"Feb 17, 2017","1.2414","1.2488","1.2513","1.2385","-0.61"
"Feb 16, 2017","1.2490","1.2458","1.2527","1.2451","0.25"
"Feb 15, 2017","1.2459","1.2470","1.2482","1.2379","-0.09"
"Feb 14, 2017","1.2470","1.2523","1.2550","1.2440","-0.46"
"Feb 13, 2017","1.2528","1.2473","1.2541","1.2468","0.30"
"Feb 10, 2017","1.2491","1.2496","1.2524","1.2436","-0.04"
"Feb 09, 2017","1.2496","1.2539","1.2585","1.2487","-0.34"
"Feb 08, 2017","1.2539","1.2505","1.2551","1.2472","0.22"
"Feb 07, 2017","1.2511","1.2463","1.2547","1.2344","0.33"
"Feb 06, 2017","1.2470","1.2491","1.2510","1.2423","-0.14"
"Feb 03, 2017","1.2488","1.2522","1.2539","1.2456","-0.32"
"Feb 02, 2017","1.2528","1.2656","1.2715","1.2514","-1.03"
"Feb 01, 2017","1.2658","1.2580","1.2686","1.2542","0.63"
"Jan 31, 2017","1.2579","1.2483","1.2598","1.2410","0.74"
"Jan 30, 2017","1.2486","1.2548","1.2604","1.2462","-0.55"
"Jan 27, 2017","1.2555","1.2590","1.2614","1.2514","-0.30"
"Jan 26, 2017","1.2593","1.2631","1.2680","1.2554","-0.32"
"Jan 25, 2017","1.2634","1.2520","1.2643","1.2488","0.90"
"Jan 24, 2017","1.2521","1.2534","1.2546","1.2415","-0.11"
"Jan 23, 2017","1.2535","1.2358","1.2546","1.2352","1.29"
"Jan 20, 2017","1.2375","1.2341","1.2381","1.2259","0.27"
"Jan 19, 2017","1.2342","1.2256","1.2343","1.2250","0.68"
"Jan 18, 2017","1.2259","1.2412","1.2417","1.2250","-1.24"
"Jan 17, 2017","1.2413","1.2043","1.2415","1.2014","3.03"
"Jan 16, 2017","1.2048","1.2058","1.2090","1.1979","-1.08"
"Jan 13, 2017","1.2179","1.2155","1.2234","1.2119","0.13"
"Jan 12, 2017","1.2163","1.2206","1.2318","1.2148","-0.40"
"Jan 11, 2017","1.2212","1.2175","1.2270","1.2036","0.29"
"Jan 10, 2017","1.2177","1.2161","1.2191","1.2104","0.12"
"Jan 09, 2017","1.2162","1.2266","1.2273","1.2122","-1.02"
"Jan 06, 2017","1.2287","1.2417","1.2437","1.2257","-1.05"
"Jan 05, 2017","1.2418","1.2321","1.2436","1.2267","0.78"
"Jan 04, 2017","1.2322","1.2232","1.2356","1.2217","0.68"
"Jan 03, 2017","1.2239","1.2272","1.2308","1.2198","-0.29"
"Jan 02, 2017","1.2275","1.2344","1.2354","1.2267","-0.51"
"Dec 30, 2016","1.2338","1.2260","1.2389","1.2242","0.61"
"Dec 29, 2016","1.2263","1.2222","1.2280","1.2206","0.30"
"Dec 28, 2016","1.2226","1.2267","1.2298","1.2197","-0.37"
"Dec 27, 2016","1.2271","1.2283","1.2290","1.2236","-0.14"
"Dec 26, 2016","1.2288","1.2262","1.2314","1.2257","-0.03"
"Dec 23, 2016","1.2292","1.2280","1.2301","1.2226","0.07"
"Dec 22, 2016","1.2283","1.2349","1.2379","1.2273","-0.57"
"Dec 21, 2016","1.2354","1.2362","1.2393","1.2321","-0.11"
"Dec 20, 2016","1.2367","1.2399","1.2414","1.2311","-0.27"
"Dec 19, 2016","1.2400","1.2491","1.2504","1.2353","-0.78"
"Dec 16, 2016","1.2497","1.2417","1.2519","1.2379","0.63"
"Dec 15, 2016","1.2419","1.2556","1.2572","1.2372","-1.16"
"Dec 14, 2016","1.2565","1.2658","1.2721","1.2527","-0.73"
"Dec 13, 2016","1.2658","1.2673","1.2729","1.2649","-0.17"
"Dec 12, 2016","1.2680","1.2570","1.2704","1.2551","0.83"
"Dec 09, 2016","1.2576","1.2586","1.2623","1.2548","-0.08"
"Dec 08, 2016","1.2586","1.2624","1.2706","1.2545","-0.29"
"Dec 07, 2016","1.2622","1.2676","1.2685","1.2567","-0.43"
"Dec 06, 2016","1.2677","1.2727","1.2776","1.2653","-0.44"
"Dec 05, 2016","1.2733","1.2725","1.2746","1.2623","0.03"
"Dec 02, 2016","1.2729","1.2590","1.2747","1.2565","1.08"
"Dec 01, 2016","1.2593","1.2504","1.2697","1.2498","0.70"
"Nov 30, 2016","1.2505","1.2490","1.2524","1.2416","0.12"
